Company,Award Title,Agency,Branch,Phase,Program,Award Amount,Number Employees,Company Website,City,State,Zip,Distance
SenseICs Ltd.,"Scalable, Power Efficient, Programmable, Wide Dynamic Range, Multi-Field- Programmable-Array Compatible Readout Integrated Circuit for Infrared Range Applications",Department of Defense,Army,Phase I,SBIR,"$99,406.39 ",2.0,,Columbus,OH,43228,55.060630376481285
Ahmic Aerospace LLC,Extremely Small Balance Technology,Department of Defense,Air Force,Phase I,SBIR,"$149,998.00 ",3.0,http://www.AhmicAerospace.com,Dayton,OH,45409,55.060630376481285
BGI LLC,Data Science Driven Aircrew Performance Measurement and Proficiency System,Department of Defense,Navy,Phase I,SBIR,"$124,921.00 ",257.0,http://www.bgi-llc.com,Akron,OH,44311,55.060630376481285
"HYPER TECH RESEARCH, INC.",A Novel Way to Dope TI in Nb3Sn Conductor to Reduce A15 Grain Size and Non-Cu Critical Current at High Fields,Department of Energy,,Phase II,SBIR,"$999,998.00 ",13.0,,Columbus,OH,43228-2412,55.060630376481285
Bertec Corporation,Portable Device to Deliver Vestibular Rehabilitation,Department of Defense,Defense Health Program,Phase I,SBIR,"$149,887.00 ",36.0,,Columbuws,OH,43229,55.060630376481285
"Cornerstone Research Group, Incorporated",Flying Missile Rail and High-Rate Production,Department of Defense,Defense Advanced Research Projects Agency,Phase I,SBIR,"$229,701.10 ",76.0,,Dayton,OH,45440,55.060630376481285
"Powdermet, Inc.","High Temperature, High Energy Density and High Efficiency Capacitors for Aerospace Exploration",National Aeronautics and Space Administration,,Phase I,SBIR,"$123,702.00 ",9.0,,Euclid,OH,44117-1252,55.060630376481285
THE DESIGN KNOWLEDGE COMPANY,OPENER: Occupancy Profiles for Energy Reduction,Department of Defense,Air Force,Phase I,SBIR,"$150,000.00 ",80.0,http://www.tdkc.com,Fairborn,OH,45324,55.060630376481285
PediaStent LLC,SBIR TOPIC 096: Novel Biodegradable Metal Stents for Neonatal Aortic Coarctation,Department of Health and Human Services,National Institutes of Health,Phase II,SBIR,"$2,999,279.00 ",,,Cleveland,OH,00004-4106,55.060630376481285
"Spectral Energies, LLC",KHz-MHz Rate Laser-Based Tracking of Particles and Product Gases for Multiphase Blast,Department of Defense,Air Force,Phase II,STTR,"$749,936.00 ",34.0,,Dayton,OH,45431,55.060630376481285
"Ultra Tech Machinery, Inc.",ISS Multi-Material Fabrication Laboratory Using Ultrasonic Additive Manufacturing Technology,National Aeronautics and Space Administration,,Phase II,SBIR,"$742,793.00 ",65.0,,Cuyahoga Falls,OH,44223-3701,55.060630376481285
Global Research and Development Inc.,Oxygen Separation with Dual Phase Nano-Composite Membrane,Department of Energy,,Phase II,SBIR,"$1,000,000.00 ",5.0,,Columbus,OH,43228-2412,55.060630376481285
UNIVERSAL TECHNOLOGY CORPORATION,Dynamic Collaborative Visualization Ecosystem (DynaCoVE),Department of Defense,Army,Phase I,SBIR,"$99,944.87 ",215.0,http://www.utcdayton.com/,Dayton,OH,45432,55.060630376481285
"AWAREABILITY TECHNOLOGIES, LLC",SBIR Phase I: Wide Bandgap Semiconductor Betavoltaic Powered Sensor Controller,National Science Foundation,,Phase I,SBIR,"$223,756.00 ",4.0,,Columbus,OH,43212,55.060630376481285
"Ohio Lumex Co., Inc.",Real-time Monitoring and Speciation of Selenium in Pulverized Coal Power Plant Wastewaters,Department of Energy,,Phase I,SBIR,"$149,486.00 ",43.0,,Solon,OH,44139-3938,55.060630376481285
Great Lakes Neurotechnologies Inc.,ParkinPal: Patient-Centered PD Ambulatory Monitoring System,Department of Health and Human Services,,Phase I,SBIR,"$224,655.00 ",,,Cleveland,OH,44125-4245,55.060630376481285
Nu Waves Ltd.,S-Band Transmit/Receive Module Advancements for Efficient Radars (STRAFE),Department of Defense,Navy,Phase I,SBIR,"$124,960.00 ",59.0,http://www.nuwaves.com,Middletown,OH,45044,59.86230148618187
Great Lakes Neurotechnologies Inc.,DiSCERN: Advanced PD Therapy Candidacy and Evaluation System,Department of Health and Human Services,,Phase I,SBIR,"$219,501.00 ",,,Cleveland,OH,44125-4245,59.86230148618187
"Centerline Biomedical, Inc.","3D Holographic Guidance, Navigation, and Control (3D GN&amp;C) for Endovascular Aortic Repair (EVAR)",Department of Health and Human Services,,Phase I,STTR,"$223,868.00 ",,,Cleveland,OH,44106-2119,59.86230148618187
"Cornerstone Research Group, Incorporated",Ultra-Endurance UAV Using Hybrid Concepts,Department of Defense,Air Force,Phase II,SBIR,"$1,492,902.00 ",67.0,http://www.CRGrp.com,Miamisburg,OH,45342,59.86230148618187
Appia LLC,SBIR Phase I: Development of a Novel Rubber Recycling Process Not Involving Devulcanization,National Science Foundation,,Phase I,SBIR,"$225,000.00 ",2.0,,Akron,OH,44313,59.86230148618187
"Matrix Research, Inc",Small Munitions Advanced Seeker Handoff (SMASH),Department of Defense,Air Force,Phase I,SBIR,"$149,849.00 ",67.0,http://www.matrixresearch.com,Dayton,OH,45432,59.86230148618187
Haima Therapeutics LLC,SBIR Phase I: Manufacturing and Characterization of a Synthetic Platelet (SynthoPlateTM) Technology,National Science Foundation,,Phase I,SBIR,"$224,998.00 ",1.0,,Cleveland,OH,44106,59.86230148618187
EnergyEne Inc.,Enhanced Radiation Attenuation Medical Gloves,Department of Agriculture,,Phase I,SBIR,"$99,914.00 ",3.0,,Wooster,OH,44691-9665,59.86230148618187
"Cornerstone Research Group, Incorporated",Automated In-Process Quality Control of Recycled Filament Production and FDM Printers,National Aeronautics and Space Administration,,Phase I,SBIR,"$124,990.00 ",64.0,http://www.CRGrp.com,Miamisburg,OH,45342-6411,59.86230148618187
Core Quantum Technologies,SBIR Phase I: Magnetic Quantum Dots for Cell Separation and Characterization,National Science Foundation,,Phase I,SBIR,"$225,000.00 ",1.0,,Columbus,OH,43212,59.86230148618187
"Perfusion Solutions, Inc.",Non Obstructive Right Assist Device (NORAD) for Chronic Right Heart Assist,Department of Health and Human Services,,Phase I,SBIR,"$224,947.00 ",,,Cleveland,OH,44106-2130,59.86230148618187
"PH MATTER, LLC",High Performance Gas Diffusion Layer,Department of Energy,,Phase I,SBIR,"$155,000.00 ",9.0,,Columbus,OH,43229-1120,59.86230148618187
"Cornerstone Research Group, Incorporated",MG Elastomer for Advanced Solid Rocket Motor Insulation,Department of Defense,Army,Phase II,SBIR,"$639,509.70 ",68.0,http://www.CRGrp.com,Dayton,OH,45440,59.86230148618187
Global Research and Development Inc.,Oxygen Production and Delivery on Demand,Department of Defense,Defense Health Program,Phase I,STTR,"$150,000.00 ",5.0,,Columbus,OH,43228,59.86230148618187
"Etegent Technologies, Ltd.",Automated Exhaust Coating Defect Mapping System,Department of Defense,Air Force,Phase II,SBIR,"$749,493.00 ",25.0,,Cincinnati,OH,45212,59.86230148618187
BGI LLC,Landing Signal Officer- Data Analysis Toolkit (LSO-DAT),Department of Defense,Navy,Phase II,SBIR,"$749,972.00 ",230.0,http://www.bgi-llc.com,Akron,OH,44311,59.86230148618187
"NexTech Materials, Ltd. dba Nexceris, LLC",Functionally Gradient Seals for Solid Oxide Fuel Cells,Department of Energy,,Phase I,SBIR,"$155,000.00 ",40.0,,Lewis Center,OH,43035-9423,59.86230148618187
PLCC2 LLC ,Photonic-Storage Subsystem Input/Output (P-SSIO) Interface,Department of Energy,,Phase I,SBIR,"$224,148.00 ",10.0,,Columbus,OH,43204-1461,59.86230148618187
"Etegent Technologies, Ltd.",Improving Trust in Autonomy Through Modeling Performance,Department of Defense,Air Force,Phase II,SBIR,"$749,935.00 ",25.0,http://www.etegent.com,Cincinnati,OH,45212,59.86230148618187
Srico Inc ,Narrowband Perfect Absorber for Infrared Sensing,Department of Defense,Army,Phase II,SBIR,"$500,100.00 ",12.0,http://www.srico.com,COLUMBUS,OH,43235,59.86230148618187
"Spectral Energies, LLC","Robust-Mode Analysis, Reduced-Order Modeling, and Intelligent Control Strategies for Reacting and Non-Reacting Flows",Department of Defense,Air Force,Phase II,STTR,"$749,977.00 ",34.0,,Dayton,OH,45431,59.86230148618187
"LEADSCOPE, INC.",Rapid response toxicology prediction platform,Department of Health and Human Services,,Phase II,SBIR,"$612,360.00 ",,,Columbus,OH,43215-1084,59.86230148618187
"Applied Optimization, Inc","Understanding Additive Manufacturing Solidification Profile Effects on Material Inhomogenieties, Defects, and Qualification",Department of Defense,Navy,Phase II,SBIR,"$1,000,000.00 ",33.0,http://www.appliedO.com,Fairborn,OH,45324,59.86230148618187
"Nanotek Instruments, Inc.",Graphene-Enabled Long-Cycle-Life Lithium-Sulfur Batteries without Excess Lithium and Electrolyte,Department of Defense,Army,Phase I,SBIR,"$99,997.73 ",38.0,http://www.nanotekinstruments.com,Dayton,OH,45404,59.86230148618187
"Nextech Materials, Ltd.","Compact, Lightweight, Power-Dense, Integrated Fuel Cell System",Department of Defense,Navy,Phase I,SBIR,"$124,999.00 ",40.0,http://www.nexceris.com,Lewis Center,OH,43035,59.86230148618187
"GUILD ASSOCIATES, INC.",Biomolecule concentration and preservation by hydrogel driven forward osmosis for improved serological detection,Department of Defense,Army,Phase I,SBIR,"$99,996.41 ",75.0,http://www.guildbiosciences.com,Dublin,OH,43017,59.86230148618187
"HYPER TECH RESEARCH, INC.",Low AC-Loss Superconducting Cable Technology for Electric Aircraft Propulsion,National Aeronautics and Space Administration,,Phase II,SBIR,"$749,998.00 ",13.0,,Columbus,OH,43228-2412,59.86230148618187
"GUILD ASSOCIATES, INC.",Pathogen-specific and serotype-independent antibody reagents for diagnosis of Shigella spp. and non-typhoidal Salmonella,Department of Defense,Defense Health Program,Phase II,SBIR,"$999,976.00 ",74.0,,Dublin,OH,43017,59.86230148618187
MATERIALS ENGINEERING AND TECHNICAL SUPPORT SERVICES CORP.,Chilled Brine Separation,Department of Defense,Air Force,Phase I,SBIR,"$149,174.00 ",20.0,http://www.metss.com,Westerville,OH,43082,59.86230148618187
"Guild Associates, Inc. DBA Guild Biosciences",Immobilized Enzyme Additive Package for Plant-Based Finfish Aquaculture Feed,Department of Commerce,National Oceanic and Atmospheric Administration,Phase I,SBIR,"$119,983.84 ",70.0,,Dublin,OH,43016-1234,59.86230148618187
MATERIALS ENGINEERING AND TECHNICAL SUPPORT SERVICES CORP.,Quick and reliable hydrogen embrittlement testing,Department of Defense,Air Force,Phase I,SBIR,"$149,070.00 ",20.0,http://www.metss.com,Westerville,OH,43082,59.86230148618187
THE DESIGN KNOWLEDGE COMPANY,AAIMS: Adaptable Interfaces for M&amp;S Tools,Department of Defense,Air Force,Phase I,SBIR,"$99,996.00 ",80.0,http://www.tdkc.com,Fairborn,OH,45324,59.86230148618187
MV Innovative Technologies LLC (DBA: Opt,Laser Additive Manufacturing of Seven Thousand Series Aluminum Aircraft Components (LAM-STAAC),Department of Defense,Navy,Phase I,STTR,"$124,913.00 ",14.0,,Dayton,OH,45402,59.86230148618187
"Etegent Technologies, Ltd.",Cognitive Approaches to Integrated Intelligence Production,Department of Defense,Air Force,Phase II,SBIR,"$1,499,695.00 ",25.0,http://www.etegent.com,Cincinnati,OH,45212,59.86230148618187
"Cornerstone Research Group, Incorporated",eHealth Monitoring Garment with Distributive Sensing,Department of Defense,Defense Health Program,Phase II,SBIR,"$999,901.00 ",71.0,,Miamisburg,OH,45342,59.86230148618187
"EUCLID TECHLABS, LLC",An Ultra-High Gradient Travelling Wave Gun,Department of Energy,,Phase I,SBIR,"$149,891.00 ",17.0,,Solon,OH,44139-1866,59.86230148618187
Applied Sciences,Pyramid Nanostructured Coatings for Stray Light Suppression,National Aeronautics and Space Administration,,Phase II,SBIR,"$749,762.00 ",10.0,,Cedarville,OH,45314-0579,59.86230148618187
"Powdermet, Inc.",Non-toxic Hydrophobic Coatings for Improved Infrared and Red Phosphorus Obscurant Performance,Department of Defense,Army,Phase I,SBIR,"$104,741.43 ",26.0,http://www.powdermetinc.com,Euclid,OH,44117,59.86230148618187
"AMERICAN TECHNICAL COATINGS, INC.",Lightweight Bullet and Fragment Impact Protection for Mobile Missile Launcher,Department of Defense,Army,Phase II,SBIR,"$586,731.80 ",9.0,,Westlake,OH,44145,59.86230148618187
Novaa Ltd,Same Frequency Simultaneous Transmit and Receive Radio,Department of Defense,Army,Phase I,SBIR,"$99,998.74 ",2.0,http://novaarf.com,Dublin,OH,43016,59.86230148618187
"Cornerstone Research Group, Incorporated",Biodynamic Acceleration Sensor System,Department of Defense,Air Force,Phase I,SBIR,"$149,988.00 ",67.0,http://www.CRGrp.com,Miamisburg,OH,45342,59.86230148618187
"PH MATTER, LLC",Multi-Functional Catalyst Support,Department of Energy,,Phase II,SBIR,"$1,000,000.00 ",9.0,,Columbus,OH,43229-1120,59.86230148618187
Scientific Forming Technologies Corporation,Efficient 3-D Finite Element Process Modeling to Enable Linear Friction Welding of Aerospace Components,Department of Defense,Air Force,Phase I,SBIR,"$149,971.00 ",59.0,http://www.deform.com,Columbus,OH,43235,59.86230148618187
"Spectral Energies, LLC",Novel Methodology for the Rapid Acoustic Optimization of Supersonic Multi-Stream 3D Nozzles,National Aeronautics and Space Administration,,Phase I,SBIR,"$124,332.00 ",34.0,http://www.spectralenergies.com,Dayton,OH,45430-1062,59.86230148618187
"PH MATTER, LLC",Engineered Silicon for Improved Performance EV Batteries,Department of Energy,,Phase II,SBIR,"$1,010,000.00 ",9.0,,Columbus,OH,43229-1120,59.86230148618187
"Eccrine Systems, Inc.",Cognition Biomarker Measurement in Sweat as an Index of Human Performance,Department of Defense,Air Force,Phase II,SBIR,"$749,976.00 ",24.0,,Cincinnati,OH,45212,59.86230148618187
"SK Infrared, LLC","Large Fill Factor, High Aspect Ratio Dual Band Superlattice Detectors and Focal Plane Arrays",Department of Defense,Army,Phase I,SBIR,"$100,000.00 ",7.0,http://www.skinfrared.com,Columbus,OH,43212,59.86230148618187
Bio-Missions LLC ,An integrated Process for Butanol Production from Cellulosic Biomass and CO2 Using Engineered Clostridia in a Linear Immobilized Bioreactor,Department of Energy,,Phase I,SBIR,"$150,000.00 ",3.0,,Reynoldsburg,OH,43068-9708,59.86230148618187
"Innovative Scientific Solutions, Inc.",Arc jet Test-Article Surface Recession Rate Monitor,Department of Defense,Air Force,Phase II,SBIR,"$400,000.00 ",100.0,http://www.innssi.com,Dayton,OH,45459,61.621386306961114
"Spectral Energies, LLC",Development of Burst-mode Laser based High-speed Microwave and Thomson Scattering Instruments for Fusion Plasma Devices,Department of Energy,,Phase I,STTR,"$149,844.45 ",34.0,,Beavercreek,OH,45430-1062,61.621386306961114
ASYMMETRIC TECHNOLOGIES LLC,Variable Flux Machines for Hybrid Electric Vehicles,Department of Energy,,Phase I,STTR,"$149,824.84 ",20.0,,Columbus,OH,43212-2859,61.621386306961114
"EUCLID TECHLABS, LLC",Low RF loss DC conductive Ceramic for High Power Input Coupler Windows for SRF Cavities,Department of Energy,,Phase II,SBIR,"$999,932.00 ",17.0,,Solon,OH,44139-1866,61.621386306961114
"HYPER TECH RESEARCH, INC.",Advanced Rotor Coils for Conduction Cooled Superconducting Multi-Megawatt Motors for Aircraft Propulsion,National Aeronautics and Space Administration,,Phase I,SBIR,"$124,994.00 ",13.0,,Columbus,OH,43228-2412,61.621386306961114
"Faraday Technology, Inc. ",Electro-dewatering of Cellulosic Nanomaterials,Department of Energy,,Phase I,SBIR,"$150,000.00 ",200.0,,Englewood,OH,45315-8983,61.621386306961114
Polylux ,SBIR Phase I: AuraPeel- On-Demand Light Switchable Adhesives,National Science Foundation,,Phase I,SBIR,"$225,000.00 ",1.0,,Akron,OH,44311,61.621386306961114
"Spectral Energies, LLC",High Bandwidth Optical Sensor for Time Resolved Detection of Multiple Species Related to Explosives and Detonations,Department of Defense,Defense Threat Reduction Agency,Phase II,SBIR,"$746,461.00 ",28.0,,Dayton,OH,45431,68.44251355806578
"NERVIVE, INC.","Early Feasibility Clinical Study of the VitalFlow Stimulator, an Emergency Treatment for Ischemic Stroke",Department of Health and Human Services,,Phase II,SBIR,"$1,486,705.00 ",,,Akron,OH,44311-4403,68.44251355806578
MATERIALS ENGINEERING AND TECHNICAL SUPPORT SERVICES CORP.,Decontamination of Category A Viruses on Porous Surfaces and Sensitive Equipment,Environmental Protection Agency,,Phase I,SBIR,"$99,212.00 ",20.0,http://www.metss.com,Westerville,OH,43082,68.44251355806578
"Etegent Technologies, Ltd.",Low-Shot Detection in Remote Sensing Imagery,Department of Defense,National Geospatial-Intelligence Agency,Phase II,SBIR,"$999,865.00 ",24.0,,Cincinnati,OH,45212,68.44251355806578
X-ScaleSolutions,Unified and Federated Storage Middleware for Unstructured Big Data Analytics and Management,Department of Energy,,Phase I,SBIR,"$150,000.00 ",5.0,,Columbus,OH,43230-2994,68.44251355806578
"UES, Inc.","High Temperature, High Performance Wire Insulation (17-RD-964)",Department of Defense,Navy,Phase II,SBIR,"$750,004.00 ",200.0,http://www.ues.com,Dayton,OH,45432,68.44251355806578
Haima Therapeutics LLC,Logistical and Functional Evaluation of SynthoPlateTM (Intravenous Synthetic Platelet) Technology for Pre-Hospital Hemorrhage Control,Department of Defense,Army,Phase I,SBIR,"$99,967.18 ",1.0,http://www.haimatherapeutics.com,Cleveland,OH,44106,68.44251355806578
UNIVERSAL TECHNOLOGY CORPORATION,Additive Manufacturing Sensor Fusion Technologies for Process Monitoring and Control.,Department of Defense,Defense Logistics Agency,Phase I,STTR,"$99,989.00 ",215.0,http://www.utcdayton.com/,Dayton,OH,45432,68.44251355806578
Nu Waves Ltd.,ADvanced Rf environment simulator for mOde 5 and IdenTification friend or foe (ADROIT),Department of Defense,Army,Phase II,SBIR,"$661,041.80 ",52.0,http://www.nuwaves.com,Middletown,OH,45044,68.44251355806578
"D'Angelo Technologies, LLC",Advanced Ship-handling Simulators,Department of Defense,Navy,Phase I,STTR,"$125,000.00 ",10.0,,Beavercreek,OH,45434,68.44251355806578
HNB Therapeutics LLC ,Nanofiber Expanded CD34+ Stem Cells for Osteoporosis Therapy,Department of Health and Human Services,,Phase I,STTR,"$224,999.00 ",,,Columbus,OH,43214-2120,69.77040644726823
